#Group,#Point,x_coord,y_coord,z_coord
1,1,1.0,0.0,0.0
1,2,0.95196,0.0224,0.0
1,3,0.9032,0.04099,0.0
1,4,0.80464,0.07447,0.0
1,5,0.70487,0.10312,0.0
1,6,0.60405,0.12674,0.0
1,7,0.50235,0.14474,0.0
1,8,0.4,0.15606,0.0
1,9,0.29401,0.15738,0.0
1,10,0.24111,0.15287,0.0
1,11,0.18858,0.14416,0.0
1,12,0.13674,0.13045,0.0
1,13,0.08611,0.11012,0.0
1,14,0.06153,0.09651,0.0
1,15,0.03775,0.07942,0.0
1,16,0.01536,0.05624,0.0
1,17,0.0053,0.03964,0.0
1,18,0.0,0.0,0.0
1,19,0.0197,-0.03472,0.0
1,20,0.03464,-0.04656,0.0
1,21,0.06225,-0.06066,0.0
1,22,0.08847,-0.06931,0.0
1,23,0.11389,-0.07512,0.0
1,24,0.16326,-0.08169,0.0
1,25,0.21142,-0.08416,0.0
1,26,0.25889,-0.08411,0.0
1,27,0.30599,-0.08238,0.0
1,28,0.4,-0.07606,0.0
1,29,0.49765,-0.06698,0.0
1,30,0.59595,-0.05562,0.0
1,31,0.69513,-0.04312,0.0
1,32,0.79536,-0.03003,0.0
1,33,0.8968,-0.01655,0.0
1,34,0.94804,-0.00964,0.0
1,35,1.0,0.0,0.0
1,0,,,
